"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Fastkd1",-0.232999341006383,1.93009593345465,-1.5809743871876,0.158657730557291,0.512168327678182,-5.43720373382936
"AI413582",0.534873270500053,2.4970817474998,1.5799837268986,0.158882705639534,0.512740462310274,-5.43848908910201
"Fancm",-0.251299681534999,1.54641735370657,-1.57900206889861,0.159105928430823,0.513163627651116,-5.43976240237248
"Nprl2",0.230895555518768,3.08874044418955,1.57898684328094,0.159109392930933,0.513163627651116,-5.4397821487549
"Ubr4",0.261843906012002,3.20931634882306,1.57800207652006,0.159333619605984,0.513732535145083,-5.44105912644189
"Cog5",0.250416333950372,3.11572037963305,1.57742382596923,0.15946542110024,0.514003188060196,-5.44180879257796
"Nrxn3",-0.32819096348049,2.03731211017763,-1.57689960828772,0.159584994221759,0.514170971846533,-5.44248830004393
"1810032O08Rik",0.526291671094808,3.17206902370532,1.5767759022572,0.159613223476382,0.514170971846533,-5.44264863665462
"Ubiad1",0.305190969962081,2.9360789548091,1.57617896546712,0.159749507348711,0.51445568483513,-5.44342225156019
"Nckap1",0.208737158323336,6.26597338432398,1.57564806379919,0.159870805734235,0.514691982489713,-5.44411017412294
"Prkx",-0.264901223543048,2.53707024386109,-1.5749161141175,0.160038178886338,0.51497343232311,-5.44505843336458
"Ptpra",-0.23896932657587,5.09143382840733,-1.57484641030851,0.160054126358896,0.51497343232311,-5.44514872588882
"Mtap7d2",0.217441215485821,2.81841841615572,1.57379980699944,0.16029375505399,0.515163030090792,-5.44650424888319
"Pigp",-0.38193064706981,4.23603295302555,-1.57354889312588,0.16035125332751,0.515163030090792,-5.44682916215383
"Krit1",-0.2343265089012,2.74801046149764,-1.57353129821151,0.160355286014883,0.515163030090792,-5.44685194526076
"Cuedc2",0.265310015627806,4.35797679887961,1.57332834207646,0.160401809586617,0.515163030090792,-5.44711473839843
"Acap2",0.339268131763096,3.83010845123524,1.57301352138891,0.160474000596787,0.515163030090792,-5.44752234605128
"Speg",-0.473309822743387,2.24634885802947,-1.57274156384851,0.160536386977354,0.515163030090792,-5.4478744273978
"Nlgn3",0.230296293802628,4.4437817383174,1.57270188244916,0.16054549167069,0.515163030090792,-5.44792579734869
"Triap1",-0.248815557439034,3.01722091518156,-1.57261806251423,0.160564725297883,0.515163030090792,-5.4480343053256
"Efnb1",-0.370792083435606,1.44467493629161,-1.57251217819544,0.160589024952301,0.515163030090792,-5.44817137266197
"Gm1821",-0.193831194616768,6.4234499302598,-1.57249607369731,0.160592721112102,0.515163030090792,-5.44819221957674
"N4bp2l1",-0.283794536743042,1.43350560479365,-1.57218408412309,0.160664341721389,0.515218088827893,-5.4485960638041
"Uhmk1",0.213486583451093,3.69606203336455,1.57183363911787,0.160744825499454,0.515218088827893,-5.44904964147302
"Ube2g1",-0.22310395608265,3.65041884934431,-1.57179457065926,0.160753800340993,0.515218088827893,-5.44910020453387
"Lhfpl3",0.345907500357475,5.80652673994479,1.57005839913923,0.161153104413871,0.516343777268788,-5.45134660381104
"Usf1",-0.294443254069245,3.45617260864353,-1.5686161316882,0.161485511758744,0.517028360825121,-5.45321185727447
"Mdp1",0.268325568879293,3.770554502638,1.56828051115879,0.161562955118419,0.517028360825121,-5.45364579478711
"Nt5c3l",-0.24326725977243,3.38229363372299,-1.56823491987869,0.161573477813379,0.517028360825121,-5.45370473831538
